resolution_topics;gender;name;resolution_category;retweet_count;text;tweet_coord;tweet_created;tweet_date;tweet_id;tweet_location;tweet_state;user_timezone;tweet_region
Eat healthier;female;AllessaMarie;Health & Fitness;0;#NewYearsResolution to eat buy and eat environmentally responsible. buy for local businesses and eat a plant based diet. #eatclean2015;[43.57538691, -96.77952025];2015-01-01T00:14:00;2015-01-01;5,50566E+17;Sioux Falls, Sd;SD;Eastern Time (US & Canada);Midwest
Quit smoking;female;xo_Sallyyy;Health & Fitness;0;Please stop RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2015-01-01T00:14:00;2015-01-01;5,50566E+17;Long Island, NY;NY;Eastern Time (US & Canada);Northeast
Be more positive;female;bettiebruja;Personal Growth;0;#NewYearsResolution BEEEE MORRRE OPTIMISTIC;;2015-01-01T00:14:00;2015-01-01;5,50566E+17;El Paso, TX;TX;;South
Try new things;male;hanknastyhk64;Personal Growth;0;"#NewYearsResolution to stop saying ""Like"" so much, but I know I'm not gonna. I follow nobody's rules, not even my own.";;2015-01-01T00:13:00;2015-01-01;5,50565E+17;Denton, Texas;TX;Central Time (US & Canada);South
Spend more time on my hobby;male;hughhewitt;Recreation & Leisure;1;I do not have enough years left to read all that I should read, so,instead I read everything by Joseph Epstein #NewYearsResolution;;2015-01-01T00:12:00;2015-01-01;5,50565E+17;California;CA;Pacific Time (US & Canada);West
Read more books;male;vaver16;Personal Growth;0;2 hours late. #HappyNewYear #NewYearsResolution Going to #read and write more! #BringItOn2015;;2015-01-01T00:12:00;2015-01-01;5,50565E+17;MN;MN;Central Time (US & Canada);Midwest
Donate more to charity;female;annielederman;Philanthropic;2;#NewYearsResolution This year I'm gonna make $10,000,000 and donate $10,000,050 to charity cuz I'm a sweetie :);;2015-01-01T00:11:00;2015-01-01;5,50565E+17;Los Angeles;CA;Pacific Time (US & Canada);West
Cook more;male;MichaelPainter6;Recreation & Leisure;1;I'm proud to say that I'm quitting basketball to join the men's chess squad #NewYearsResolution;;2015-01-01T00:10:00;2015-01-01;5,50565E+17;Washington;WA;Pacific Time (US & Canada);West
Go to the gym more;female;christinab22;Health & Fitness;0;"""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes"" that's a good one!  Good luck!";;2015-01-01T00:08:00;2015-01-01;5,50564E+17;Ft. Worth, TX;TX;Central Time (US & Canada);South
Take a trip;male;Oooh_Mierda;Recreation & Leisure;1;"Gonna try to achieve SSJ4 this year

#NewYearsResolution";;2015-01-01T00:07:00;2015-01-01;5,50564E+17;Pacoima, CA;CA;Pacific Time (US & Canada);West
Find a Girlfriend;male;Afrofish123;Family/Friends/Relationships;0;#NewYearsResolution FIND A BIG BOOTY B*TCH;;2015-01-01T00:07:00;2015-01-01;5,50564E+17;Baltimore;MD;;South
Humor about Family/Friends/Relationships Resolutions;female;xoxjasmynxox1;Humor;0;#NewYearsResolution to pay attention to when pics are being taken so I don't look like this in pics 24/7 http://t.co/myMy0huEia;;2015-01-01T00:06:00;2015-01-01;5,50564E+17;Boston;MA;;Northeast
Humor about Personal Growth and Interests Resolutions;female;anelissemm;Humor;0;This year I'm going to actual complete my #NewYearsResolution;;2015-01-01T00:06:00;2015-01-01;5,50564E+17;California;CA;Pacific Time (US & Canada);West
Respect Others;female;connerpaige;Personal Growth;4;RT @garrett_h94: No matter who you are, one of your resolutions should be to think of others before you think of yourself! I'm gonna try #N??_;;2015-01-01T00:06:00;2015-01-01;5,50564E+17;Virginia;VA;Eastern Time (US & Canada);South
Appreciate what I have;female;brebabes23;Personal Growth;0;Gonna try not to spend all my money on food this year._??? #NewYearsResolution;[40.48016852, -96.96461043];2015-01-01T00:05:00;2015-01-01;5,50563E+17;??Nebraska??;NE;;Midwest
Other;female;YoursAlwaysHaz;Family/Friends/Relationships;0;#NewYearsResolution  i want to find someone who loves me for reals. So I don't have to get hurt;;2015-01-01T00:05:00;2015-01-01;5,50563E+17;California;CA;Arizona;West
Save money;male;spacejamjayy;Finance;0;#NewYearsResolution Get Money;;2015-01-01T00:04:00;2015-01-01;5,50563E+17;College Park;MD;Central Time (US & Canada);South
Work less;male;DJCOMATOSE;Career;0;#HappyNewYear Happy New Year 2015 West Coast Cali! #NYE2015 Remind me to keep my #NewYearsResolution to not work as Hard (already broke) :P;;2015-01-01T00:03:00;2015-01-01;5,50563E+17;LOS ANGELES, CA, USA;CA;Pacific Time (US & Canada);West
Hike more;male;ItsSamiTariq;Recreation & Leisure;0;"Learn to play Guitar.
Get Abs in shape.
Travel at least twice to a far location.
Maintain IDGAF attitude.

#NewYearsResolution";;2015-01-01T00:03:00;2015-01-01;5,50563E+17;New York;NY;Pacific Time (US & Canada);Northeast
Humor about Personal Growth and Interests Resolutions;male;JoeyHD;Humor;0;#Newyearsresolution I'm going to leave my data usage on all year #ornah lol;;2015-01-01T00:00:00;2015-01-01;5,50562E+17;Iowa;IA;Central Time (US & Canada);Midwest
Appreciate what I have;female;Jaylaa_107;Personal Growth;0;Appreciate what I have, instead of worrying about what I don't. #NewYearsResolution;;2015-01-01T00:00:00;2015-01-01;5,50562E+17;CT;CT;Quito;Northeast
Appreciate what I have;female;yokmcj_3;Personal Growth;0;"Opening up my arms for 2015 ?_?(?_?????_???)?_?
Instead of a ""new me,"" this year will be the time to embrace the ""real me.""
#NewYearsResolution #?????_??";;2015-01-01T00:00:00;2015-01-01;5,50562E+17;California;CA;Pacific Time (US & Canada);West
Spend more time outside;male;superboyNguyen;Recreation & Leisure;0;"Happy New Years from the #WestCoast #Portland #Oregon #2015 #NewYearsResolution to Party more!
#EatSleepPartyRepeat";;2015-01-01T00:00:00;2015-01-01;5,50562E+17;Portland,OR;OR;Tijuana;West
Respect Others;male;3Deej;Personal Growth;0;"Res #1  LOVE fully &amp; always.  #untilithurts #thenforevermore #NewYearsResolution";[37.32904675, -121.98398659];2014-12-31T23:59:00;2014-12-31;5,50562E+17;Santa Clara, California;CA;Pacific Time (US & Canada);West
Be more friendly;male;jewilliams86;Personal Growth;0;"#newyearsresolution be the Same ornery dancehall daredevil as always...2015 break laws, rules &amp; HEARTS! #YEEYEE CARRY ON PARTY PEOPLE!!!";;2014-12-31T23:59:00;2014-12-31;5,50562E+17;Southwest Kansas;KS;Quito;Midwest
Lose weight;female;hannzz07;Health & Fitness;0;My resolution though, like everyone else is to lose weight! Which probably won't happen, but a girl can dream. _??_ #NewYearsResolution;;2014-12-31T23:58:00;2014-12-31;5,50562E+17;NYC;NY;Eastern Time (US & Canada);Northeast
Be More Fun;male;Tearstone;Personal Growth;1;RT @dsmy: Let's make 2015 amazing! #NewYearsResolution #NewYear #NewYear2015 http://t.co/nGr42wymTs;;2014-12-31T23:58:00;2014-12-31;5,50562E+17;Orlando, Florida;FL;Eastern Time (US & Canada);South
Be more positive;female;Jaylaa_107;Personal Growth;0;Always stay positive, no matter what I go through #NewYearsResolution;;2014-12-31T23:57:00;2014-12-31;5,50562E+17;CT;CT;Quito;Northeast
Be more positive;female;JacaraUnique_;Personal Growth;1;#NewYearsResolution to better myself, continue to have faith, love more, stay ambitious, and not to worry about others opinion about me_??;;2014-12-31T23:57:00;2014-12-31;5,50562E+17;CALIFORNIA????????_;CA;Pacific Time (US & Canada);West
Other;female;ShawnaKeegan;Personal Growth;0;"???@ScottWarner18: My #NewYearsResolution is to stop eating cereal...

Never mind. Can't do it.?? You can't ever give up cereal!";;2014-12-31T23:57:00;2014-12-31;5,50562E+17;Texas;TX;;South
Humor about Recreation and Leisure Resolutions;male;Smuuchie;Humor;0;#NewYearsResolution to actually make my pee inside the toilet and not on the seat..;;2014-12-31T23:57:00;2014-12-31;5,50561E+17;Seattle, WA 206;WA;Pacific Time (US & Canada);West
Other;male;TyTyJohnson;Personal Growth;0;My #NewYearsResolution is to change my Twitter bio. Might get around to it might not. Don't wanna set myself up for disappointment.;;2014-12-31T23:57:00;2014-12-31;5,50561E+17;Seattle, WA;WA;;West
Humor about Time Management/Organization Resolutions;male;MarkJMelton;Humor;0;#NewYearsResolution: go to bed every night at a descent hour. CRAP!!! Already broke that #resolution! #NewYear #2015 #2am #NYE2015 #NYE;;2014-12-31T23:55:00;2014-12-31;5,50561E+17;Jackson, MS;MS;Eastern Time (US & Canada);South
Appreciate what I have;female;raejeanhightowe;Personal Growth;0;#NewYearsResolution be happy and stack my money and be with my baby;;2014-12-31T23:55:00;2014-12-31;5,50561E+17;berkeley;CA;Arizona;West
Quit smoking;female;IzabelaN;Health & Fitness;0;Make this January a #Veganuary ! http://t.co/7Q6Um7VR4M #GoVegan #NewYearsResolution @peta @peta2 @MercyForAnimals @TryVeg;;2014-12-31T23:55:00;2014-12-31;5,50561E+17;LA;CA;Pacific Time (US & Canada);West
Humor about not Resolutions in general;female;jessica_megan94;Humor;0;I don't have any #NewYearsResolution until after my 21st birthday on the 10th lol;;2014-12-31T23:54:00;2014-12-31;5,50561E+17;Bay Area, Californa;CA;Pacific Time (US & Canada);West
Quit smoking;female;lovelayxo;Health & Fitness;0;Yes pls stop. RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:54:00;2014-12-31;5,50561E+17;New York.;NY;Pacific Time (US & Canada);Northeast
Humor about not Keeping Resolutions;male;whoisthedave;Humor;0;My #NewYearsResolution is to be responsible for someone breaking theirs.;;2014-12-31T23:52:00;2014-12-31;5,5056E+17;El Paso, Texas;TX;Mountain Time (US & Canada);South
Humor about not Resolutions in general;female;MaydayParkerNYC;Humor;0;#NewYearsResolution //To raise muse for Mayday and @AmazonGoneBad.;;2014-12-31T23:52:00;2014-12-31;5,5056E+17;New York, NY #AU;NY;;Northeast
Other;female;BeingMeAsAlways;Family/Friends/Relationships;0;#2015 please bring me something or someone Special in my life 2015 really need to be my year!! #wish #BringOn2015 #NewYearsResolution;;2014-12-31T23:52:00;2014-12-31;5,5056E+17;California ??????;CA;Pacific Time (US & Canada);West
Quit smoking;male;brylleangelo21;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? Straight up _???;;2014-12-31T23:49:00;2014-12-31;5,50559E+17;Queens, NY;NY;Quito;Northeast
Make more time for friends;female;lovemuzik09;Family/Friends/Relationships;0;Ugh who wants to go to bed lonely AF on New years???? #NewYearsResolution don't go to bed lonely next new years_??? lol;;2014-12-31T23:46:00;2014-12-31;5,50559E+17;North Carolina;NC;;South
Quit smoking;female;_strangeTamboni;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? I hope you stick to this. I really do;;2014-12-31T23:45:00;2014-12-31;5,50558E+17;houston;TX;Central Time (US & Canada);South
Humor about not Keeping Resolutions;female;Spashley4L;Humor;1;One of my #NewYearsResolution is literally to work on my flirt and flirt more this year lmao;;2014-12-31T23:44:00;2014-12-31;5,50558E+17;Room 93, TX;TX;Arizona;South
Make more time for friends;female;fisher4avs;Family/Friends/Relationships;1;RT @McKynnaLorraine: #NewYearsResolution Meet my main man @GabeLandeskog92 from the @Avalanche;;2014-12-31T23:44:00;2014-12-31;5,50558E+17;beautiful state of colorado;CO;Mountain Time (US & Canada);West
Try a new 'fad' workout;female;Badejah;Health & Fitness;1;RT @ShanaBo_O: Good for you _??_?? RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:43:00;2014-12-31;5,50558E+17;upper west side, ny;NY;Quito;Northeast
Humor about not Resolutions in general;male;allTYedup;Humor;0;My #NewYearsResolution is to be less afraid of pooping in public. Samsies @emilieeharris??;;2014-12-31T23:42:00;2014-12-31;5,50558E+17;Huntsville, TX ;TX;Central Time (US & Canada);South
Quit smoking;male;7uic3;Health & Fitness;0;"""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes"" factz ... dope avi";;2014-12-31T23:40:00;2014-12-31;5,50557E+17;BROOKLYN;NY;Pacific Time (US & Canada);Northeast
See a Concert/Show;male;tango_alpha3;Recreation & Leisure;0;New Years resolution: see @TriviumOfficial @TriviumPaolo @coreytrivium @matthewkheafy @MatMadiro live. #NewYearsResolution;;2014-12-31T23:40:00;2014-12-31;5,50557E+17;Joplin, MO;MO;;Midwest
Quit smoking;male;KeemCentrix;Health & Fitness;0;Likewise RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:39:00;2014-12-31;5,50557E+17;South FL;FL;Quito;South
Be more positive;male;immaculate_kai;Personal Growth;0;My New Years resolution is to be happy cuz thats what life is all about thats the pursuit! #NewYearsResolution #happiness #life;;2014-12-31T23:39:00;2014-12-31;5,50557E+17;Vegas;NV;Pacific Time (US & Canada);West
Be better at keeping in touch with loved ones or friends;male;dementiapunk;Family/Friends/Relationships;0;Give/Receive more love #NewYearsResolution;;2014-12-31T23:38:00;2014-12-31;5,50557E+17;California;CA;Arizona;West
Be more positive;female;JayleneNix;Personal Growth;2;Awesome! Write it down! Attitude is everything! @gnix20 @bronix86 @LyndsNix @NZMoney88 @winnie4ed #NewYearsResolution http://t.co/pbSS92ZRqj;;2014-12-31T23:37:00;2014-12-31;5,50556E+17;Idaho, USA;ID;Mountain Time (US & Canada);West
Humor about Recreation and Leisure Resolutions;male;zakisbak;Humor;2;my #NewYearsResolution is #8bit cuz im #lofi;;2014-12-31T23:36:00;2014-12-31;5,50556E+17;Wild Horse Desert, Sexas;TX;Central Time (US & Canada);South
Other;female;symphonicxale;Health & Fitness;0;"Good for you Chris _??_ ""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes""";;2014-12-31T23:35:00;2014-12-31;5,50556E+17;Palmdale, California;CA;Pacific Time (US & Canada);West
Stop/Quit Drinking;female;chelSEEurTweets;Health & Fitness;0;*changes plans* RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:35:00;2014-12-31;5,50556E+17;To Live & Die In LA;CA;Pacific Time (US & Canada);West
Humor about Career Resolutions;female;wendaalyn;Humor;1;RT @Adorn_Ambreezzy: #NewYearsResolution to have @chrisbrown tell me he loves me _???_???_???_???_???;;2014-12-31T23:34:00;2014-12-31;5,50556E+17;Los Angeles !???;CA;Pacific Time (US & Canada);West
Lose weight;female;_Amber_Nicole10;Health & Fitness;0;#NewYearsResolution No visits to the hospital _???_???;;2014-12-31T23:33:00;2014-12-31;5,50555E+17;Mississippi;MS;Central Time (US & Canada);South
Excersize More;female;SmithHannah_;Health & Fitness;0;My cliche #NewYearsResolution is to definitely love Dillon better and to read more books. and the always eat better amd exercise more.;;2014-12-31T23:33:00;2014-12-31;5,50555E+17;Titletown, USA.;WI;Mountain Time (US & Canada);Midwest
Other;female;jclamb6;Recreation & Leisure;0;Drink more gin. #NewYearsResolution;;2014-12-31T23:33:00;2014-12-31;5,50555E+17;Philadelphia;PA;Eastern Time (US & Canada);Northeast
Quit smoking;female;beauttyispainn;Health & Fitness;0;lol MAN RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:33:00;2014-12-31;5,50555E+17;LA.;CA;Pacific Time (US & Canada);West
Use less social media;male;TheEdwardBrooks;Personal Growth;2;RT @Team_Irvin: ???@Gaychel22: My #NewYearsResolution is to look at more butts and boobs.?? http://t.co/WBwHlVYqAW;;2014-12-31T23:33:00;2014-12-31;5,50555E+17;Kansas City;MO;Central Time (US & Canada);Midwest
Humor about Health and Fitness Resolutions;female;haleysickles;Humor;0;Can't wait for the gym to be super packed. Just kidding..  I don't go to the gym. #NewYearsResolution;;2014-12-31T23:32:00;2014-12-31;5,50555E+17;tennessee;TN;Central Time (US & Canada);South
Spend more time on my hobby;male;DanZiesmer;Recreation & Leisure;0;#NewYearsResolution I'm going to try to tweet about something everyday until 2016. 1st;;2014-12-31T23:32:00;2014-12-31;5,50555E+17;Broward;FL;;South
Quit smoking;female;NeversonAngel23;Health & Fitness;0;"You can do it RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes""";;2014-12-31T23:32:00;2014-12-31;5,50555E+17;Atlanta Ga.;GA;Eastern Time (US & Canada);South
Update my wardrobe;female;PurplePenguinkl;Personal Growth;0;#GoalsFor2015 to tweet more!!! #NewYearsResolution;;2014-12-31T23:31:00;2014-12-31;5,50555E+17;Indiana!;IN;Central Time (US & Canada);Midwest
Learn to let things go;female;LU_18;Personal Growth;0;"Go 4broke or keep wondering think its time I face the truth &amp; stop living in my fantasy land Let the heartache begin #NewYearsResolution";;2014-12-31T23:31:00;2014-12-31;5,50555E+17;Illinois;IL;Central Time (US & Canada);Midwest
Humor about Helping Others Resolutions;female;scourtney15;Humor;0;#NewYearsResolution stop using my famous duck face _???_??? (not in all my pictures but some) ... okay bye now;;2014-12-31T23:31:00;2014-12-31;5,50555E+17;rochester ny 585;NY;Eastern Time (US & Canada);Northeast
Have more patience;female;Shirellestar;Personal Growth;1;#NewYearsResolution read before I tweet so I have no more typos #DoingGreatThings _???;;2014-12-31T23:30:00;2014-12-31;5,50555E+17;*Vegas* ?_?On A Flawless Boat?_?;NV;Arizona;West
Go gluten free;male;KinyuaJoselito;Health & Fitness;0;"@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes

http://t.co/UV8hwIpB0e";;2014-12-31T23:30:00;2014-12-31;5,50555E+17;Macon, GA & Nairobi. ;GA;;South
Be more positive;female;princessbeckzzz;Personal Growth;1;2015 is going to be the year of flushing negative out of my life and eliminating unnecessary stress and upset. _??_???? #NewYearsResolution;;2014-12-31T23:30:00;2014-12-31;5,50555E+17;California;CA;Pacific Time (US & Canada);West
Quit smoking;female;ItsMe_Sylvie;Health & Fitness;0;_??_?? ???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??;;2014-12-31T23:30:00;2014-12-31;5,50555E+17;New York;NY;Eastern Time (US & Canada);Northeast
Drink more water;female;syd_elizz;Health & Fitness;0;My #NewYearsResolution is to drink more water _??? #8glassesaday #slurpslurp;;2014-12-31T23:30:00;2014-12-31;5,50555E+17;Chicago;IL;;Midwest
Quit smoking;female;1BlackStar;Health & Fitness;1;Blessings RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:29:00;2014-12-31;5,50554E+17;Never Never Land (NYC);NY;Eastern Time (US & Canada);Northeast
Get more sleep;female;BatgirlHanes;Health & Fitness;1;"Scouty's #NewYearsResolution...""Sleep more, worry less."" #dogslife #NewYears2015 http://t.co/5gSt0VaYhc";;2014-12-31T23:29:00;2014-12-31;5,50554E+17;Michigan;MI;Eastern Time (US & Canada);Midwest
Be more positive;male;the_allister;Personal Growth;0;"#NewYearsResolution To live more thoughtfully, see things from different perspectives, &amp; offer only encouragement and constructive criticism";;2014-12-31T23:29:00;2014-12-31;5,50554E+17;Sunny California;CA;Nairobi;West
Ask for a promotion;male;DamianFlyte;Career;0;My #NewYearsResolution is to publish a couple of books finally! #NewYear #NewYear2015;;2014-12-31T23:28:00;2014-12-31;5,50554E+17;Olympia, WA;WA;Pacific Time (US & Canada);West
Study More;male;shamansun;Education/Training;1;#amwriting In this intermediary zone of sleepy mind, prepping for completing the Rice Uni application. #NewYearsResolution;;2014-12-31T23:28:00;2014-12-31;5,50554E+17;NY;NY;Eastern Time (US & Canada);Northeast
Humor about Family/Friends/Relationships Resolutions;female;Adorn_Ambreezzy;Humor;1;#NewYearsResolution to have @chrisbrown tell me he loves me _???_???_???_???_???;;2014-12-31T23:28:00;2014-12-31;5,50554E+17;CA;CA;Pacific Time (US & Canada);West
Be more positive;male;TdXGod;Personal Growth;0;#NewYearsResolution -- Laugh more worry less;;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Miami Florida ..;FL;Eastern Time (US & Canada);South
Be more positive;male;__lmv;Personal Growth;0;#NewYearsResolution Stay positive.;;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Rockland County;NY;Atlantic Time (Canada);Northeast
Quit smoking;female;YunginNuk;Health & Fitness;0;"""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes"" _??_??_??_???";;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Memphis, TN;TN;Pacific Time (US & Canada);South
Set up a home gym;female;1989GuySwiftie;Health & Fitness;0;#NewYearsResolution Mine is to workout more. #GetRiped _??;;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Chicago IL.;IL;Central Time (US & Canada);Midwest
Other;male;chmsant;Humor;0;"Terrible resolution LONG LIVE CEREAL RT @ScottWarner18: My #NewYearsResolution is to stop eating cereal...

Never mind. Can't do it.";;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Sacramento, California;CA;Pacific Time (US & Canada);West
Stop/Quit Drinking;female;nikki_ROZAYY;Health & Fitness;0;pleeaaasseeeeee _???_??_??RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Longview/Kilgore Tx ??_???;TX;Pacific Time (US & Canada);South
Be more positive;female;amarisxmarie;Personal Growth;0;Not gonna let emotions take control of me this year. Choosing happiness! Easier said than done... But I'm gonna do it. #NewYearsResolution;;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Cazenovia College '17;NY;Eastern Time (US & Canada);Northeast
Quit smoking;female;Demure_Belle;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? GOOD.;;2014-12-31T23:27:00;2014-12-31;5,50554E+17;Memphis ?? Knoxville;TN;Eastern Time (US & Canada);South
Face Fears;male;justincolletti_;Personal Growth;0;#NewYearsResolution wake@up every morning with a story to tell _??? #partypartyparty;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Newport Beach, CA;CA;;West
Quit smoking;male;TorryOkeefe;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? forreal;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Buffalo, New York;NY;;Northeast
Quit smoking;female;IcyBands;Health & Fitness;0;YUS I'm so proud of you already RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;TEXAS!!!;TX;Central Time (US & Canada);South
Be more friendly;female;NoNameInIndy;Personal Growth;1;Do better, dance more, remember to write 2015. #NewYearsResolution;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Indianapolis, Indiana;IN;Eastern Time (US & Canada);Midwest
Eat less meat;male;lifted_high21;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??and go to church;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Oakland, CA;CA;Pacific Time (US & Canada);West
Quit smoking;female;bieberdictator;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??yeah right;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;ATL;GA;Quito;South
Get a tattoo;female;lbr924;Personal Growth;0;My New Years Resolution is simplistic. I am going to spend 2015 being happy. Be Happy no matter what life throws my way #NewYearsResolution;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Alabama;AL;;South
Quit smoking;female;_hibella_;Health & Fitness;0;"Yesss bae!! ""@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes""";;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Philly;PA;Quito;Northeast
Quit smoking;female;Adorn_Ambreezzy;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??same babe;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;CA;CA;Pacific Time (US & Canada);West
Use more social media;female;LindsayNimphius;Personal Growth;0;#NewYearsResolution #1: Be a more proactive member of social media (so far, so good!);;2014-12-31T23:26:00;2014-12-31;5,50554E+17;New York;NY;;Northeast
Quit smoking;male;john_pat_rick;Health & Fitness;0;How about reading 10 pages of a book? RT @chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;Georgia/New York;GA;Eastern Time (US & Canada);South
Quit smoking;female;eighteengold;Health & Fitness;1;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? _??_??;;2014-12-31T23:26:00;2014-12-31;5,50554E+17;nc;NC;Eastern Time (US & Canada);South
Humor about Finance Resolutions;male;Fern_54;Humor;1;RT @BTebo5: #NewYearsResolution Get hammered at least once a week;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;Marquette, Michigan;MI;Eastern Time (US & Canada);Midwest
Quit smoking;female;RiannaSoSweet;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??yasss leave them cancer sticks alone _??;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;Chicago;IL;Central Time (US & Canada);Midwest
Start a new business;male;DrBenFung;Career;0;"#2015Goals: The year I publish my book, catalyze transformational thought, and serve as a channel for success.

#NewYearsResolution";;2014-12-31T23:25:00;2014-12-31;5,50553E+17;In service to others??San Diego;CA;Pacific Time (US & Canada);West
Quit smoking;female;xoMissGL_;Health & Fitness;2;_??__???_??_??_??_?? You go Glen Coco! ???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;Brooklyn, Nueva York;NY;Pacific Time (US & Canada);Northeast
Improve my attitude;male;godofshinobi1;Personal Growth;0;#NewYearsResolution be more honest;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;Eastvale/Riverside;CA;Pacific Time (US & Canada);West
Quit smoking;female;_LOVEmel8r;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? _??_??;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;Birmingham & Huntsville, AL;AL;Central Time (US & Canada);South
Quit smoking;male;ColormeBREEZY;Health & Fitness;1;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? http://t.co/NJMQhSPJgp;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;los angeles;CA;;West
Quit smoking;female;_BeeNAExo;Health & Fitness;0;Uh huh ???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes??;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;troy, AL ?????? madison, MS;MS;Central Time (US & Canada);South
Quit smoking;male;TheGreatKvy;Health & Fitness;0;???@chrisbrown: Supper club right now!!!! #NewYearsResolution stop smoking cigarettes?? _??_??_??;;2014-12-31T23:25:00;2014-12-31;5,50553E+17;Bellflower, Ca;CA;Pacific Time (US & Canada);West
Be more positive;female;presleyseal;Personal Growth;2;"""This is the year I will be stronger, braver, kinder, &amp; unstoppable. "" ~unknown
#NewYearsResolution";;2014-12-31T23:23:00;2014-12-31;5,50553E+17;louisiana;LA;;South
Spend more time with family;female;Lfm_xo;Family/Friends/Relationships;1;RT @The_Real_Kolby_: #NewYearsResolution marry @Lfm_xo .;;2014-12-31T23:22:00;2014-12-31;5,50553E+17;KY;KY;Mountain Time (US & Canada);South
Be more positive;male;Falcons53;Personal Growth;0;Dare to be great #NewYearsResolution;;2014-12-31T23:21:00;2014-12-31;5,50552E+17;Minneapolis, MN;MN;Arizona;Midwest
Appreciate what I have;male;JoeldeSousa90;Personal Growth;2;"RT @Trenton_jones: FAITH that God is working
HOPE that the future is good 
LOVE no matter what
#TheGreatestOfThese #NewYearsResolution #2015";;2014-12-31T23:21:00;2014-12-31;5,50552E+17;Chicago, Illinois;IL;Atlantic Time (Canada);Midwest
Humor about Personal Growth and Interests Resolutions;male;philipbehnam;Humor;0;Be a wolf. #NewYearsResolution;;2014-12-31T23:21:00;2014-12-31;5,50552E+17;San Diego, CA;CA;Pacific Time (US & Canada);West
